SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,7,202,180,26,22.25,25,27,29,37.5
S,7,203,182,26,36,40,44.5,48,51.75
S,7,229,238,26,32.5,36,40.5,42,57.75
S,7,233,5378,26,54.75,61.5,66.5,71.75,78.25
S,7,236,229,26,22.5,28,29,30.75,33.75
S,7,239,9872,26,21.25,23,24.5,26,29.75
S,7,240,5378,26,34.25,36,40.5,46.75,50
S,7,252,239,26,26,28,30,34.25,49.25
S,7,2594,2597,36,21,23,42,62,71.25
S,7,2596,2607,29,23,25,36,45,52.199999999999996
S,7,2597,2599,38,23,25,27,29,65.04999999999998
S,7,2602,3637,37,40.599999999999994,46,52,70,96.79999999999995
S,7,2604,2602,26,21,22,24,28,32.5
S,7,2606,2604,23,21,21,22,26,32.699999999999996
S,7,2609,2606,37,32.8,36,43,57,64.99999999999997
S,7,2611,2609,35,23,24,25,27.5,31
S,7,2612,2614,37,22.799999999999997,24,26,29,34.59999999999999
S,7,2615,2617,37,25,27,29,31,34
S,7,2616,2613,37,25,28,30,32,35
S,7,2620,2623,38,29,37,49.5,60.5,68.15
S,7,2623,2625,28,21,22,23.5,28.5,66.89999999999999
S,7,2624,12892,37,30.599999999999998,34,37,42,56.199999999999996
S,7,2625,2628,36,22,24,26,27,29
S,7,2626,2624,27,21.299999999999997,24,26,29.5,40.39999999999999
S,7,2629,2626,37,27,42,59,70,85.79999999999993
S,7,2632,2629,24,21,22,23,24.25,27
S,7,2633,7651,37,24,27,29,50,55.39999999999999
S,7,2635,2632,37,25,29,30,32,36.199999999999996
S,7,2641,2594,38,39.849999999999994,44,60,73.25,84.75
S,7,2642,11956,41,74,84,93,111,136
S,7,2686,2691,26,26.5,29.25,32,33.75,52
S,7,2692,2696,26,27,32,34,38,40.75
S,7,2701,2703,26,36,45.25,54,68,79.75
S,7,2707,2685,24,22.15,23.75,26.5,30,505.099999999999
S,7,2719,2715,26,34.5,38,38.5,41,45.25
S,7,2721,2719,25,23,24,25,26,29.599999999999994
S,7,2723,2721,25,22.2,24,25,27,29.599999999999994
S,7,2727,2723,26,27,28,29,31,34.75
S,7,2729,2727,25,22,25,27,29,36.999999999999986
S,7,2733,2729,26,24.25,26,27.5,29,35.25
S,7,2741,2739,25,21,24,30,49,70.59999999999998
S,7,2742,2746,26,35.5,39,46.5,84.75,104.75
S,7,2746,2749,26,22.25,25.25,27,30.75,74
S,7,2760,2762,26,29,36.25,39.5,51,77.5
S,7,2762,2767,26,36,40,43.5,47,56.75
S,7,2767,13218,26,30.75,44,57.5,70.75,82
S,7,3091,3105,26,23.25,26.25,27.5,29.75,37.5
S,7,3092,3097,24,22,24.5,27,28,29
S,7,3105,10879,26,24,26,28,30.5,34.25
S,7,3633,2642,53,32,35,37,41,45.4
S,7,3635,2641,37,63.8,72,80,86,126.19999999999962
S,7,3637,3641,37,28.8,30,32,35,56.99999999999985
S,7,3639,3635,36,28.5,32,35,38,42
S,7,3673,5846,26,45.25,51,56,58.75,62.25
S,7,4014,4026,25,21.200000000000003,23,26,42,55.39999999999998
S,7,4016,4014,26,22.25,27.25,38,44.5,49.75
S,7,404,406,23,21,22.5,26,39,58
S,7,406,408,22,21,22,23,24.75,26
S,7,408,13043,25,24,26,27,30,34
S,7,410,7216,25,22.2,24,25,27,28.799999999999997
S,7,417,410,26,31,32,34,36,41.75
S,7,418,422,24,39.45,43,47.5,63.75,77.55
S,7,422,425,24,24,25,28,29,30
S,7,423,417,25,38.199999999999996,41,45,47,63.99999999999996
S,7,4253,4319,26,24.5,27,29,35,50.75
S,7,426,423,25,37.2,42,46,51,69.39999999999998
S,7,4287,6517,26,70.5,84.5,102,118,142
S,7,4288,8321,50,22.450000000000003,26.25,32,36,44
S,7,429,436,25,32,35,37,39,50.599999999999966
S,7,430,428,22,21,23,24.5,26,35.9
S,7,4319,3673,26,53.25,58.25,84,128,169.5
S,7,435,430,26,35,37.25,41.5,44,54
