SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
01SEP2017:00:00:00,W,403,1140,3546,4,1,31,7856,26548,2642,26788,26585,26650,3,-122.65871329999999,45.512840000000004,65,0
05SEP2017:00:00:00,W,403,1140,2559,4,1,43,7856,26611,2642,26784,26620,26628,3,-122.6586817,45.512068333,8,0
05SEP2017:00:00:00,W,403,1850,3127,4,1,8,7856,82929,2642,83069,82945,82978,3,-122.65872,45.512828333,33,0
05SEP2017:00:00:00,W,403,1850,3127,4,1,8,7856,82929,2642,83069,83010,83018,3,-122.66046829999999,45.513016666999995,8,0
06SEP2017:00:00:00,W,403,1140,2631,4,1,43,7856,26681,2642,26863,26689,26701,3,-122.6586883,45.512025,12,0
06SEP2017:00:00:00,W,403,1140,2631,4,1,43,7856,26681,2642,26863,26738,26746,3,-122.6594233,45.513038333000004,8,0
06SEP2017:00:00:00,W,403,1690,3121,4,1,6,7856,65168,2642,65370,65176,65218,3,-122.65865670000001,45.512075,42,0
06SEP2017:00:00:00,W,403,1690,3121,4,1,6,7856,65168,2642,65370,65236,65294,3,-122.6586767,45.512848333,58,0
06SEP2017:00:00:00,W,403,1850,3121,4,1,0,7856,82783,2642,82920,82803,82847,3,-122.65866170000001,45.512853333,44,0
07SEP2017:00:00:00,W,403,1690,3102,4,1,17,7856,65215,2642,65433,65239,65287,3,-122.65871000000001,45.512866667,48,0
07SEP2017:00:00:00,W,403,1850,3102,4,1,7,7856,82777,2642,82922,82793,82836,3,-122.65872,45.512836666999995,43,0
08SEP2017:00:00:00,W,403,1140,2612,4,1,42,7856,26795,2642,26990,26811,26848,3,-122.65875,45.512783333,37,0
08SEP2017:00:00:00,W,403,1690,3016,4,1,10,7856,65224,2642,65432,65237,65286,3,-122.658725,45.512831667,49,0
08SEP2017:00:00:00,W,403,1690,3016,4,1,10,7856,65224,2642,65432,65352,65387,3,-122.66048500000001,45.51294,35,0
08SEP2017:00:00:00,W,403,1850,3016,4,1,6,7856,82852,2642,82992,82870,82908,3,-122.6587483,45.512825,38,0
11SEP2017:00:00:00,W,403,1850,3118,4,1,5,7856,82849,2642,82988,82862,82905,3,-122.65873500000001,45.512831667,43,0
11SEP2017:00:00:00,W,403,1850,3118,4,1,5,7856,82849,2642,82988,82935,82945,3,-122.6604883,45.512995000000004,10,0
11SEP2017:00:00:00,W,403,1690,3118,4,1,10,7856,65365,2642,65567,65381,65423,3,-122.65874,45.512851667,42,0
12SEP2017:00:00:00,W,403,1140,2620,4,1,44,7856,26769,2642,27005,26784,26853,3,-122.65871499999999,45.512843333,69,0
12SEP2017:00:00:00,W,403,1850,3138,4,1,5,7856,82929,2642,83134,82944,82961,3,-122.658755,45.5128,17,0
12SEP2017:00:00:00,W,403,1850,3138,4,1,5,7856,82929,2642,83134,83000,83087,3,-122.6605017,45.513000000000005,87,0
12SEP2017:00:00:00,W,403,1690,3138,4,1,6,7856,65306,2642,65431,65325,65350,3,-122.6587533,45.512826667,25,0
13SEP2017:00:00:00,W,403,1140,2636,4,1,38,7856,26860,2642,27077,26878,26920,3,-122.6586717,45.512531667,42,0
13SEP2017:00:00:00,W,403,1690,3106,4,1,0,7856,65302,2642,65435,65316,65354,3,-122.6587367,45.512848333,38,0
13SEP2017:00:00:00,W,403,1850,3106,4,1,0,7856,82726,2642,82850,82743,82778,3,-122.65873,45.512838333000005,35,0
14SEP2017:00:00:00,W,403,1140,2653,4,1,46,7856,26720,2642,26928,26737,26785,3,-122.65871000000001,45.51283,48,0
14SEP2017:00:00:00,W,403,1690,3137,4,1,18,7856,65452,2642,65628,65468,65493,3,-122.65873,45.512833333,25,0
14SEP2017:00:00:00,W,403,1850,3137,4,1,6,7856,82776,2642,82917,82794,82837,3,-122.65873,45.512831667,43,0
15SEP2017:00:00:00,W,403,1690,3524,4,1,11,7856,65221,2642,65429,65238,65293,3,-122.658725,45.512826667,55,0
15SEP2017:00:00:00,W,403,1850,3524,4,1,4,7856,82784,2642,82920,82802,82837,3,-122.6587267,45.512818333,35,0
15SEP2017:00:00:00,W,403,1850,3524,4,1,4,7856,82784,2642,82920,82869,82878,3,-122.6604733,45.513006667,9,0
15SEP2017:00:00:00,W,403,1140,3577,4,1,20,7856,26793,2642,26995,26810,26855,3,-122.6587217,45.51273,45,0
18SEP2017:00:00:00,W,403,1140,2646,4,1,41,7856,26638,2642,26851,26652,26717,3,-122.6587317,45.512851667,65,0
18SEP2017:00:00:00,W,403,1690,3306,4,1,13,7856,65297,2642,65445,65314,65355,3,-122.65872,45.512775,41,0
18SEP2017:00:00:00,W,403,1850,3306,4,1,3,7856,82793,2642,82926,82808,82838,3,-122.6587367,45.512823333,30,0
19SEP2017:00:00:00,W,403,1140,2705,4,1,31,7856,26470,2642,26646,26477,26494,3,-122.65869170000002,45.511978333,17,0
19SEP2017:00:00:00,W,403,1850,3516,4,1,0,7856,82861,2642,83008,82881,82908,3,-122.6587317,45.512833333,27,0
19SEP2017:00:00:00,W,403,1850,3516,4,1,0,7856,82861,2642,83008,82938,82948,3,-122.66050829999999,45.512986667,10,0
20SEP2017:00:00:00,W,403,1850,3105,4,1,0,7856,82867,2642,82992,82882,82906,3,-122.65871329999999,45.512855,24,0
20SEP2017:00:00:00,W,403,1690,3105,4,1,0,7856,65228,2642,65560,65243,65304,3,-122.6587317,45.51283,61,0
20SEP2017:00:00:00,W,403,1140,3311,4,1,33,7856,26869,2642,27117,26886,26926,3,-122.6587283,45.512763333,40,0
21SEP2017:00:00:00,W,403,1140,2637,4,1,32,7856,26728,2642,27051,26745,26784,3,-122.6587467,45.512715,39,0
21SEP2017:00:00:00,W,403,1140,2637,4,1,32,7856,26728,2642,27051,26995,27011,3,-122.66461670000001,45.512965,16,0
21SEP2017:00:00:00,W,403,1690,3141,4,1,17,7856,65583,2642,65770,65598,65698,3,-122.6586817,45.51251,100,0
21SEP2017:00:00:00,W,403,1850,3141,4,1,6,7856,82833,2642,82993,82866,82907,3,-122.65873329999998,45.512826667,41,0
22SEP2017:00:00:00,W,403,1140,2607,4,1,35,7856,26728,2642,26924,26743,26759,3,-122.6587283,45.512840000000004,16,0
22SEP2017:00:00:00,W,403,1850,3128,4,1,11,7856,83001,2642,83131,83021,83047,3,-122.65871829999999,45.51285,26,0
25SEP2017:00:00:00,W,403,1140,2551,4,1,3,7856,28399,2642,28806,28417,28467,3,-122.65871499999999,45.512878333,50,0
25SEP2017:00:00:00,W,403,1690,3648,4,1,20,7856,65581,2642,65717,65595,65635,3,-122.65871499999999,45.512833333,40,0
25SEP2017:00:00:00,W,403,1850,3648,4,1,4,7856,82845,2642,82989,82860,82905,3,-122.65870670000001,45.512846667,45,0
25SEP2017:00:00:00,W,403,1850,3648,4,1,4,7856,82845,2642,82989,82936,82945,3,-122.66047169999999,45.512983333,9,0
26SEP2017:00:00:00,W,403,1140,2702,4,1,45,7856,26937,2642,27263,26955,26989,3,-122.6587267,45.51276,34,0
26SEP2017:00:00:00,W,403,1690,3109,4,1,13,7856,65361,2642,65568,65376,65435,3,-122.65871829999999,45.512856667,59,0
26SEP2017:00:00:00,W,403,1850,3109,4,1,6,7856,82914,2642,83078,82931,82979,3,-122.6587233,45.512859999999996,48,0
27SEP2017:00:00:00,W,403,1140,2637,4,1,31,7856,27162,2642,27416,27168,27190,3,-122.65869170000002,45.511959999999995,22,0
27SEP2017:00:00:00,W,403,1140,2637,4,1,31,7856,27162,2642,27416,27214,27276,3,-122.6587383,45.512848333,62,0
27SEP2017:00:00:00,W,403,1690,3139,4,1,10,7856,65299,2642,65505,65316,65359,3,-122.6587533,45.51283,43,0
27SEP2017:00:00:00,W,403,1850,3139,4,1,2,7856,82846,2642,82993,82861,82914,3,-122.658755,45.512806667,53,0
